DBN,School Name,Curved Teacher Improvement,Teacher Improvement
25Q120,P.S. 120 Queens,0.801753092,0.83137255
25Q129,P.S. 129 Patricia Larkin,0.764335118,0.876363636
25Q130,P.S. 130,0.80025969,0.955555556
25Q154,P.S. 154 Queens,0.620147761,0.785714286
25Q163,P.S. 163 Flushing Heights,0.772984628,0.805882353
25Q164,P.S. 164 Queens Valley,0.58166026,0.73125
25Q165,P.S. 165 Edith K. Bergtraum,0.592013771,0.756
25Q169,P.S. 169 Bay Terrace,0.913333333,0.913333333
25Q184,P.S. 184 Flushing Manor,0.899514506,0.948148148
25Q185,J.H.S. 185 Edward Bleeker,0.638335739,0.773134328
25Q189,J.H.S. 189 Daniel Carter Beard,0.881400783,0.939534883
25Q193,P.S. 193 Alfred J. Kennedy,0.68038474,0.818181819
25Q194,J.H.S. 194 William Carr,0.647415997,0.742307692
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,0.741841446,0.761111111
25Q201,P.S. 201 The Discovery School for Inquiry and Research,0.686312205,0.731578948
25Q209,P.S. 209 Clearview Gardens,0.875454544,0.888888889
25Q214,P.S. 214 Cadwallader Colden,0.620886253,0.752
25Q219,P.S. 219 Paul Klapper,0.572801583,0.76875
25Q237,I.S. 237,0.64622051,0.681159421
25Q240,Veritas Academy,0.952941176,0.952941176
25Q241,Queens High School for Language Studies,0.88,0.88
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,0.854407823,0.88125
25Q244,The Active Learning Elementary School,0.889655172,0.889655172
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,0.650058717,0.674074074
25Q252,"Queens School of Inquiry, The",0.659574468,0.659574468
25Q263,Flushing International High School,0.906666667,0.906666667
25Q281,East-West School of International Studies,0.771590368,0.7875
25Q285,World Journalism Preparatory: A College Board School,0.790575556,0.811111111
25Q294,BELL Academy,0.783837834,0.8
25Q425,John Bowne High School,0.714456595,0.765934066
25Q460,Flushing High School,0.547821133,0.741666666
25Q467,Flushing Yabc,0.771296712,0.851612904
25Q499,"The Queens College School for Math, Science and Technology",0.62263331,0.704761904
25Q525,Townsend Harris High School,0.606183027,0.681818182
25Q540,Queens Academy High School,0.62020738,0.711111111
25Q670,Robert F. Kennedy Community High School,0.690662556,0.697674418
25Q792,North Queens Community High School,0.830769231,0.830769231
26Q018,P.S. 018 Winchester,0.937134296,0.951515151
26Q026,P.S. 026 Rufus King,0.753113489,0.821621622
26Q031,P.S. 031 Bayside,0.705634506,0.860869566
26Q041,P.S. 041 Crocheron,0.957575758,0.957575758
26Q046,P.S. 046 Alley Pond,0.750624348,0.83902439
26Q067,J.H.S. 067 Louis Pasteur,0.684072237,0.859999999
26Q074,J.H.S. 074 Nathaniel Hawthorne,0.653307954,0.663333334
26Q094,P.S. 094 David D. Porter,0.778336351,0.87
26Q098,P.S. 098 The Douglaston School,0.817986173,0.876923077
26Q115,P.S. 115 Glen Oaks,0.553988219,0.675862069
26Q133,P.S. 133 Queens,0.683827386,0.894736842
26Q158,M.S. 158 Marie Curie,0.640226428,0.804878049
26Q159,P.S. 159,0.856546626,0.902857143
26Q162,P.S. 162 John Golden,0.807589756,0.897142857
26Q172,Irwin Altman Middle School 172,0.502398279,0.662857142
26Q173,P.S. 173 Fresh Meadows,0.842857143,0.842857143
26Q178,P.S./ IS 178 Holliswood,0.780155709,0.866666666
26Q186,P.S. 186 Castlewood,0.801464199,0.86923077
26Q188,P.S. 188 Kingsbury,0.676973791,0.832
26Q191,P.S. 191 Mayflower,0.819466827,0.836363637
26Q203,P.S. 203 Oakland Gardens,0.763716633,0.853658537
26Q205,P.S. 205 Alexander Graham Bell,0.759325789,0.823529411
26Q213,P.S. 213 The Carl Ullman School,0.535796367,0.684210526
26Q216,J.H.S. 216 George J. Ryan,0.686570937,0.758064517
26Q221,P.S. 221 The North Hills School,0.96,0.96
26Q266,P.S. / I.S. 266,0.567832034,0.782608696
26Q315,Business Technology Early College High School,0.92,0.92
26Q415,Benjamin N. Cardozo High School,0.485901447,0.688607595
26Q430,Francis Lewis High School,0.714314925,0.74879227
26Q435,Martin Van Buren High School,0.662364672,0.679569892
26Q495,Bayside High School,0.661353037,0.713103448
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",0.621860834,0.666666667
27Q042,P.S./M.S 042 R. Vernam,0.750943396,0.750943396
27Q043,P.S. 043,0.46731679,0.5875
27Q045,P.S. 045 Clarence Witherspoon,0.611407519,0.72
27Q047,P.S. 047 Chris Galas,0.859092411,0.92631579
27Q051,P.S. 051,0.752819909,0.776470588
27Q053,M.S. 053 Brian Piccolo,0.806451613,0.806451613
27Q056,P.S. 056 Harry Eichler,0.911111111,0.911111111
27Q060,P.S. 060 Woodhaven,0.602335547,0.822727272
27Q062,P. S. 62 - Chester Park School,0.739019891,0.783333333
27Q063,P.S. 063 Old South,0.714050711,0.788405797
27Q064,P.S. 064 Joseph P. Addabbo,0.829729456,0.851282052
27Q065,P.S. 65 - The Raymond York Elementary School,0.78522348,0.846666667
27Q066,P.S. 066 Jacqueline Kennedy Onassis,0.829872266,0.851428571
27Q090,P.S. 090 Horace Mann,0.596747435,0.738888889
27Q096,P.S. 096,0.733333333,0.733333333
27Q097,P.S. 097 Forest Park,0.612028378,0.725714286
27Q100,P.S. 100 Glen Morris,0.572711641,0.72
27Q104,P.S. 104 The Bays Water,0.815491792,0.884444444
27Q105,P.S. 105 The Bay School,0.661046732,0.768
27Q106,P.S. 106,0.418045744,0.657142858
27Q108,P.S. 108 Captain Vincent G. Fowler,0.789205961,0.793181818
27Q114,P.S. / M.S. 114 Belle Harbor,0.679160035,0.736585366
27Q123,P.S. 123,0.740592274,0.785
27Q124,P.S. 124 Osmond A Church,0.730897074,0.779104478
27Q137,M.S. 137 America's School of Heroes,0.620721264,0.741176471
27Q146,P.S. 146 Howard Beach,0.850980392,0.850980392
27Q155,P.S. 155,0.77988739,0.882758621
27Q183,P.S. 183 Dr. Richard R. Green,0.621967815,0.7375
27Q197,P.S. 197 The Ocean School,0.705483785,0.739534884
27Q202,J.H.S. 202 Robert H. Goddard,0.842857143,0.842857143
27Q207,P.S. 207 Rockwood Park,0.747656875,0.796969697
27Q210,J.H.S. 210 Elizabeth Blackwell,0.550221654,0.702631579
27Q223,P.S. 223 Lyndon B. Johnson,0.688361171,0.794444444
27Q226,J.H.S. 226 Virgil I. Grissom,0.588942401,0.723809524
27Q232,P.S. 232 Lindenwood,0.706135649,0.77037037
27Q253,P.S. 253,0.672226466,0.708571429
27Q254,P.S. 254 - The Rosa Parks School,0.886454927,0.895454546
27Q260,Frederick Douglass Academy VI High School,0.562874758,0.6
27Q261,Voyages Prep - South Queens,0.96,0.96
27Q262,Channel View School for Research,0.861538462,0.861538462
27Q273,P.S. 273,0.792872563,0.85
27Q282,Knowledge and Power Preparatory Academy VI,0.725743722,0.872727272
27Q297,Hawtree Creek Middle School,0.905882353,0.905882353
27Q302,"Queens High School for Information, Research, and Technology",0.791304348,0.791304348
27Q306,New York City Academy for Discovery,0.755515909,0.855172414
27Q308,Robert H. Goddard High School of Communication Arts and Technology,0.763192841,0.818181818
27Q309,Academy of Medical Technology: A College Board School,0.784063424,0.808695653
27Q314,Epic High School - South,0.914285714,0.914285714
27Q316,Queens Explorers Elementary School,1,1
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,0.878412161,0.891891892
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,0.752941176,0.752941176
27Q319,VILLAGE ACADEMY,0.864078049,0.896
27Q323,Scholars' Academy,0.89404829,0.903125
27Q324,Rockaway Park High School for Environmental Sustainability,0.712152238,0.738461538
27Q333,Goldie Maple Academy,0.710083261,0.779310345
27Q334,Epic High School - North,0.569854342,0.8
27Q351,Rockaway Collegiate High School,0.52545994,0.655555555
27Q362,Wave Preparatory Elementary School,0.875862069,0.875862069
27Q400,August Martin High School,0.546939359,0.682352941
27Q475,Richmond Hill High School,0.521269835,0.712
27Q480,John Adams High School,0.665336671,0.730201343
27Q487,John Adams Yabc,0.929411765,0.929411765
27Q650,"High School for Construction Trades, Engineering and Architecture",0.715711587,0.799999999
28Q008,J.H.S. 008 Richard S. Grossley,0.742748355,0.851612904
28Q040,P.S. 040 Samuel Huntington,0.915555556,0.915555556
28Q048,P.S. 048 William Wordsworth,0.853658537,0.853658537
28Q050,P.S. 050 Talfourd Lawn Elementary School,0.50442326,0.66
28Q054,P.S. 054 Hillside,0.827483071,0.872222222
28Q055,P.S. 055 Maure,0.766666667,0.766666667
28Q072,Catherine & Count Basie Middle School 72,0.586751746,0.636363636
28Q080,P.S. 080 Thurgood Marshall Magnet,0.611425988,0.725
28Q082,P.S. 082 Hammond,0.651117187,0.718918919
28Q086,P.S. Q086,0.703634985,0.729629629
28Q099,P.S. 099 Kew Gardens,0.792209982,0.825925926
28Q101,P.S. 101 School in the Gardens,0.827304544,0.84
28Q117,P.S. 117 J. Keld / Briarwood School,0.70350085,0.796296296
28Q121,P.S. 121 Queens,0.911111111,0.911111111
28Q139,P.S. 139 Rego Park,0.82962963,0.82962963
28Q140,P.S. 140 Edward K Ellington,0.760293305,0.805882353
28Q144,P.S. 144 Col Jeromus Remsen,0.795595402,0.812
28Q157,J.H.S. 157 Stephen A. Halsey,0.700310163,0.75952381
28Q160,P.S. 160 Walter Francis Bishop,0.679362209,0.805555556
28Q161,P.S. 161 Arthur Ashe School,0.823529412,0.823529412
28Q167,Metropolitan Expeditionary Learning School,0.768399247,0.838297872
28Q174,P.S. 174 William Sidney Mount,0.520090699,0.653846153
28Q175,P.S. 175 The Lynn Gross Discovery School,0.651528383,0.832
28Q182,P.S. 182 Samantha Smith,0.55847379,0.686363637
28Q190,J.H.S. 190 Russell Sage,0.616346849,0.672413793
28Q196,P.S. 196 Grand Central Parkway,0.847826087,0.847826087
